,Soil Moisture,Temperature, Soil Humidity,Air temperature (C),Air humidity (%),Pressure (KPa)
0,54.0,22.0,70.0,19.52,55.04,101.5
1,12.0,20.0,40.0,19.49,55.17,101.5
2,34.0,26.0,35.0,19.47,55.3,101.51
3,7.0,44.0,44.0,19.54,54.2,101.51
4,50.0,38.0,23.0,19.61,53.09,101.51
5,4.0,26.0,52.0,19.67,51.91,101.51
6,15.0,34.0,58.0,19.74,50.72,101.5
7,45.0,30.0,43.0,19.8,49.54,101.5
8,47.0,4.0,42.0,19.91,47.7,101.5
9,19.0,41.0,22.0,20.02,45.86,101.5
10,63.0,44.0,65.0,20.1,44.76,101.5
11,88.0,34.0,41.0,20.19,43.67,101.49
12,39.0,20.0,70.0,20.3,42.56,101.49
13,65.0,43.0,44.0,20.41,41.44,101.49
14,50.0,27.0,50.0,20.41,41.58,101.48
15,39.0,22.0,48.0,20.41,41.71,101.48
16,18.0,33.0,44.0,20.61,40.34,101.48
17,66.0,43.0,35.0,20.81,38.96,101.48
18,68.0,25.0,59.0,20.93,37.33,101.48
19,20.0,36.0,53.0,21.06,35.69,101.48
20,40.0,17.0,35.0,21.18,34.06,101.47
21,2.0,34.0,64.0,21.3,32.42,101.47
22,22.0,35.0,32.0,21.35,31.07,101.46
23,1.0,19.0,70.0,21.4,29.72,101.46
24,5.0,23.0,27.0,21.44,28.38,101.46
25,10.0,28.0,30.0,21.49,27.03,101.45
26,25.0,13.0,66.0,21.56,26.62,101.44
27,20.0,45.0,61.0,21.62,26.22,101.43
28,40.0,29.0,39.0,21.66,25.72,101.42
29,26.0,13.0,70.0,21.69,25.21,101.41
30,71.0,6.0,59.0,21.48,25.8,101.4
31,37.0,21.0,24.0,21.28,26.39,101.4
32,76.0,12.0,47.0,21.3,25.53,101.39
33,44.0,24.0,45.0,21.32,24.67,101.38
34,24.0,8.0,47.0,21.28,24.32,101.38
35,70.0,6.0,63.0,21.24,23.96,101.37
36,32.0,23.0,28.0,21.2,23.81,101.36
37,44.0,24.0,39.0,21.16,23.66,101.36
38,4.0,45.0,49.0,21.13,23.5,101.35
39,63.0,40.0,48.0,21.09,23.35,101.35
40,49.0,29.0,55.0,21.1,23.09,101.35
41,26.0,32.0,70.0,21.11,22.84,101.34
42,58.0,32.0,38.0,21.12,22.58,101.34
43,45.0,0.0,69.0,21.13,22.32,101.34
44,37.0,7.0,32.0,20.94,22.58,101.34
45,16.0,44.0,57.0,20.76,22.83,101.34
46,75.0,2.0,31.0,20.56,23.4,101.34
47,82.0,16.0,62.0,20.36,23.97,101.34
48,72.0,28.0,21.0,20.15,24.54,101.33
49,53.0,1.0,51.0,19.95,25.11,101.33
50,13.0,24.0,48.0,19.71,26.29,101.34
51,41.0,18.0,34.0,19.47,27.47,101.34
52,53.0,2.0,30.0,19.32,27.99,101.34
53,76.0,14.0,48.0,19.18,28.51,101.34
54,9.0,36.0,37.0,19.21,28.64,101.34
55,66.0,1.0,56.0,19.24,28.77,101.34
56,12.0,16.0,25.0,19.17,29.56,101.34
57,29.0,10.0,67.0,19.1,30.36,101.33
58,37.0,34.0,57.0,19.02,31.01,101.33
59,8.0,28.0,67.0,18.93,31.66,101.33
60,55.0,1.0,68.0,18.74,31.96,101.33
61,9.0,1.0,32.0,18.55,32.25,101.33
62,41.0,27.0,23.0,18.63,31.86,101.33
63,31.0,8.0,33.0,18.71,31.47,101.33
64,80.0,38.0,52.0,18.87,30.63,101.34
